Rank,Country,Pollution Index,Exp Pollution Index
1,Finland,11.86,20.22
2,Iceland,16.24,27.97
3,Sweden,18.44,28.69
4,Norway,18.14,29.19
5,Estonia,19.01,31.21
6,Austria,19.20,31.28
7,Denmark,20.40,31.58
8,Switzerland,20.09,32.19
9,Luxembourg,23.27,35.02
10,Australia,23.48,37.32
11,Slovenia,22.65,39.63
12,New Zealand,23.81,40.63
13,Netherlands,25.28,41.11
14,Lithuania,27.01,43.60
15,Germany,27.48,44.33
16,Canada,28.13,45.93
17,Portugal,29.57,47.53
18,Croatia,30.58,50.49
19,Latvia,33.91,55.28
20,Ireland,33.59,56.08
21,Singapore,33.16,56.27
22,Oman,37.59,60.48
23,Czech Republic,36.30,60.53
24,Japan,39.40,63.75
25,United States,38.89,64.28
26,Spain,39.62,64.93
27,Slovakia,39.08,65.71
28,United Kingdom,40.25,66.54
29,France,41.79,69.72
30,Belarus,44.47,74.02
31,Costa Rica,44.07,75.74
32,Montenegro,46.91,79.52
33,Uruguay,45.67,80.91
34,Hungary,47.81,82.73
35,Belgium,50.27,84.68
36,United Arab Emirates,50.44,85.68
37,Puerto Rico,50.45,86.49
38,Argentina,50.73,86.57
39,Greece,51.95,90.54
40,Italy,53.93,90.98
41,Brazil,54.53,93.05
42,Mauritius,56.19,96.00
43,Poland,54.33,96.05
44,Cyprus,56.77,96.28
45,South Africa,56.96,97.23
46,Romania,58.42,99.76
47,Ecuador,58.34,99.85
48,Libya,57.78,99.92
49,Sri Lanka,59.92,102.78
50,Israel,58.42,103.85
51,Panama,59.77,104.48
52,Mexico,61.24,104.53
53,Qatar,60.18,105.59
54,Serbia,61.20,106.61
55,Malaysia,62.58,107.06
56,Russia,62.32,107.22
57,Bosnia And Herzegovina,60.71,107.50
58,Armenia,60.23,108.35
59,Taiwan,62.92,109.55
60,Ukraine,64.31,111.16
61,Colombia,62.88,112.28
62,Saudi Arabia,64.13,112.34
63,Tanzania,64.38,112.88
64,South Korea,61.85,113.14
65,Algeria,65.32,114.14
66,Turkey,66.15,114.95
67,Jamaica,66.27,115.38
68,Indonesia,67.08,115.84
69,Bulgaria,64.48,116.44
70,Trinidad And Tobago,67.44,116.70
71,Kuwait,66.72,117.62
72,Hong Kong,67.30,119.74
73,Morocco,70.38,122.72
74,Tunisia,70.85,123.78
75,Georgia,69.70,125.10
76,Syria,72.62,126.27
77,Guatemala,72.49,126.52
78,Pakistan,73.36,128.07
79,Bolivia,73.25,128.22
80,Iraq,73.57,128.56
81,Bahrain,71.57,129.59
82,Philippines,74.06,130.16
83,Kazakhstan,72.62,131.26
84,Dominican Republic,75.08,131.43
85,Zimbabwe,74.44,132.06
86,Azerbaijan,75.44,132.30
87,Thailand,75.39,132.55
88,Venezuela,75.12,133.22
89,Jordan,76.09,133.83
90,Kenya,75.88,134.54
91,Malta,77.76,136.51
92,Ethiopia,77.74,136.71
93,Cambodia,78.21,138.04
94,Albania,78.59,138.19
95,Iran,76.13,139.26
96,Laos,78.76,140.15
97,India,79.62,140.77
98,Chile,78.96,141.80
99,North Macedonia,80.03,145.67
100,Peru,82.69,147.24
